CustomerID,PersonID,TerritoryID,BusinessEntityID,PersonType,name,TotalPurchaseYTD,DateFirstPurchase,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,Name_1,CountryRegionCode,Group
11263,8473,1,8473,IN,Trinity NULL.Richardson,-442.46,2002-03-01Z,1964-09-11Z,M,75001-100000,F,5,5,Partial College,Professional,1,3,Northwest,US,North America
11264,5022,1,5022,IN,Eduardo NULL.Martin,3073.3,2003-07-06Z,1964-06-17Z,S,75001-100000,M,5,5,Partial College,Professional,0,3,Northwest,US,North America
11265,11905,1,11905,IN,Elizabeth P.Jones,2281.98,2003-07-07Z,1964-07-13Z,M,75001-100000,F,5,5,Partial College,Professional,1,3,Northwest,US,North America
11266,3560,1,3560,IN,Taylor NULL.Howard,-1243.3,2002-03-13Z,1964-05-05Z,S,75001-100000,F,0,0,Partial College,Professional,0,1,Northwest,US,North America
11274,5755,1,5755,IN,Kyle M.Foster,-1278.29,2002-03-01Z,1934-04-12Z,M,25001-50000,M,2,0,Graduate Degree,Management,1,2,Northwest,US,North America
11278,16067,1,16067,IN,Jonathan NULL.Phillips,-1283.28,2002-03-19Z,1963-08-20Z,S,75001-100000,M,0,0,Partial College,Professional,0,1,Northwest,US,North America
11279,2996,1,2996,IN,Amanda S.Cook,37.7,2003-09-04Z,1963-09-12Z,M,75001-100000,F,0,0,Partial College,Professional,1,1,Northwest,US,North America
11280,15746,1,15746,IN,Robert NULL.Collins,5,2004-01-02Z,1963-08-21Z,M,75001-100000,M,0,0,Partial College,Professional,1,1,Northwest,US,North America
11282,18134,1,18134,IN,Christian A.Thomas,-1221.31,2002-03-03Z,1962-01-16Z,M,75001-100000,M,5,4,Partial College,Professional,1,4,Northwest,US,North America
11293,5643,1,5643,IN,Luke S.Long,7.29,2003-08-28Z,1955-05-27Z,S,50001-75000,M,2,0,High School,Professional,0,2,Northwest,US,North America
11294,4480,1,4480,IN,Dalton P.Clark,30.01,2004-03-28Z,1955-09-03Z,M,50001-75000,M,2,0,High School,Professional,0,2,Northwest,US,North America
11296,3390,1,3390,IN,Haley NULL.Richardson,2314.68,2002-03-04Z,1935-10-07Z,S,25001-50000,F,2,0,Graduate Degree,Management,1,2,Northwest,US,North America
11301,17545,1,17545,IN,Cameron L.Rodriguez,72.69,2003-12-11Z,1960-06-09Z,M,75001-100000,M,5,4,Partial College,Professional,1,4,Northwest,US,North America
11302,13173,1,13173,IN,Spencer NULL.Russell,2344.02,2002-03-09Z,1960-12-12Z,S,75001-100000,M,4,3,High School,Professional,0,3,Northwest,US,North America
11303,20393,1,20393,IN,Julia NULL.Coleman,-1283.28,2002-03-05Z,1960-10-11Z,S,75001-100000,F,4,3,High School,Professional,0,3,Northwest,US,North America
11304,11060,1,11060,IN,Julia B.Garcia,104.02,2003-09-21Z,1960-03-17Z,M,75001-100000,F,0,3,Partial College,Professional,1,0,Northwest,US,North America
11308,13892,1,13892,IN,Ian T.Gonzales,21.99,2004-03-10Z,1954-03-05Z,M,50001-75000,M,2,0,High School,Professional,0,2,Northwest,US,North America
11309,11837,1,11837,IN,Victoria NULL.Lewis,32.71,2004-01-10Z,1954-06-12Z,S,50001-75000,F,2,0,High School,Professional,1,2,Northwest,US,North America
11311,10634,1,10634,IN,Gabrielle D.Lopez,5,2003-10-20Z,1953-08-24Z,S,50001-75000,F,3,0,Graduate Degree,Management,0,2,Northwest,US,North America
11312,8443,1,8443,IN,Sara NULL.Richardson,-30.01,2003-11-18Z,1953-04-03Z,S,50001-75000,F,3,0,Graduate Degree,Management,1,2,Northwest,US,North America
11313,12824,1,12824,IN,Trevor NULL.Jenkins,37.7,2003-11-08Z,1953-02-27Z,S,50001-75000,M,3,0,Graduate Degree,Management,1,2,Northwest,US,North America
11314,7316,1,7316,IN,Mya NULL.Flores,35,2003-08-29Z,1953-12-21Z,S,50001-75000,F,3,0,Graduate Degree,Management,0,2,Northwest,US,North America
11315,3165,1,3165,IN,Hailey J.Ward,2.7,2003-11-21Z,1953-10-01Z,S,50001-75000,F,3,0,Graduate Degree,Management,0,2,Northwest,US,North America
11317,19474,1,19474,IN,Victoria D.Russell,-3578.27,2002-03-04Z,1952-09-17Z,S,25001-50000,F,3,0,Partial College,Professional,0,2,Northwest,US,North America
11318,12090,1,12090,IN,Jessica NULL.Wilson,37.7,2004-04-19Z,1952-10-26Z,S,25001-50000,F,3,0,Partial College,Professional,0,2,Northwest,US,North America
11321,8078,1,8078,IN,Terrance D.Raman,-2.29,2003-08-27Z,1938-07-08Z,M,75001-100000,M,5,0,Bachelors ,Management,1,2,Northwest,US,North America
11322,10780,1,10780,IN,Sydney NULL.Garcia,37.7,2003-09-25Z,1938-03-15Z,M,75001-100000,F,5,0,Bachelors ,Management,1,2,Northwest,US,North America
11325,5887,1,5887,IN,Elijah E.Ross,-1166.33,2002-03-22Z,1939-07-02Z,S,75001-100000,M,5,0,Bachelors ,Management,1,2,Northwest,US,North America
11508,11912,1,11912,IN,Elizabeth R.Wilson,5,2003-11-03Z,1966-07-07Z,S,50001-75000,F,0,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11511,5541,1,5541,IN,Caleb NULL.Perry,-35,2003-09-14Z,1953-06-14Z,M,25001-50000,M,1,0,Bachelors ,Skilled Manual,1,1,Northwest,US,North America
11514,13483,1,13483,IN,Dalton NULL.Diaz,30.01,2003-12-26Z,1954-04-20Z,M,25001-50000,M,1,0,High School,Clerical,1,1,Northwest,US,North America
11518,13649,1,13649,IN,Edward NULL.Washington,54.27,2004-04-29Z,1955-05-10Z,M,25001-50000,M,1,0,Partial College,Clerical,1,1,Northwest,US,North America
11521,8193,1,8193,IN,Ariana NULL.Peterson,37.7,2003-09-06Z,1955-12-09Z,M,25001-50000,F,1,0,Partial College,Clerical,1,1,Northwest,US,North America
11522,6762,1,6762,IN,Christian J.Hughes,2299.99,2002-03-06Z,1955-12-23Z,M,75001-100000,M,5,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11525,9187,1,9187,IN,Ariana NULL.Cook,-1223.28,2002-03-09Z,1956-01-09Z,M,25001-50000,F,1,0,Partial College,Clerical,1,1,Northwest,US,North America
11529,6261,1,6261,IN,Austin L.Bryant,2355.96,2002-03-27Z,1957-11-16Z,M,25001-50000,M,1,0,Partial College,Clerical,1,1,Northwest,US,North America
11532,11625,1,11625,IN,Lauren NULL.Miller,37.7,2003-10-07Z,1957-02-26Z,M,25001-50000,F,1,0,Partial College,Clerical,1,1,Northwest,US,North America
11535,4974,1,4974,IN,Devin NULL.Nelson,-1246.32,2002-03-05Z,1958-07-03Z,M,50001-75000,M,4,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11541,12902,1,12902,IN,Aidan D.Ross,-1218.29,2002-03-15Z,1959-04-12Z,S,50001-75000,M,4,0,Graduate Degree,Skilled Manual,0,0,Northwest,US,North America
11620,11700,1,11700,IN,Megan M.Rodriguez,37.7,2003-08-12Z,1973-04-20Z,S,25001-50000,F,0,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11621,17479,1,17479,IN,Leah R.She,20.97,2004-02-02Z,1973-02-19Z,S,25001-50000,F,0,0,Graduate Degree,Skilled Manual,0,0,Northwest,US,North America
11622,17510,1,17510,IN,Gabriel NULL.Allen,82.48,2003-10-10Z,1973-12-17Z,M,25001-50000,M,0,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11630,3424,1,3424,IN,Haley NULL.Powell,2284.99,2002-03-24Z,1971-12-25Z,M,50001-75000,F,1,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11633,17416,1,17416,IN,Thomas NULL.Anderson,37.7,2004-05-16Z,1972-05-26Z,M,25001-50000,M,1,1,Bachelors ,Skilled Manual,1,0,Northwest,US,North America
11634,15742,1,15742,IN,Samuel NULL.Collins,32.71,2003-09-12Z,1972-06-12Z,M,50001-75000,M,1,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11643,17343,1,17343,IN,Naomi L.Munoz,34.33,2003-10-23Z,1970-07-27Z,M,25001-50000,F,1,1,Bachelors ,Skilled Manual,1,1,Northwest,US,North America
11644,14361,1,14361,IN,Charles S.Torres,30.01,2003-11-18Z,1969-10-07Z,S,25001-50000,M,2,2,Bachelors ,Skilled Manual,1,0,Northwest,US,North America
11645,9621,1,9621,IN,Gabriella M.Turner,50.49,2004-05-13Z,1969-10-19Z,S,25001-50000,F,2,2,Bachelors ,Skilled Manual,1,0,Northwest,US,North America
11646,3680,1,3680,IN,Anna A.Foster,-18.99,2004-01-16Z,1969-03-19Z,S,25001-50000,F,2,2,Bachelors ,Skilled Manual,1,0,Northwest,US,North America
11653,2856,1,2856,IN,Sydney NULL.Peterson,24.99,2003-10-18Z,1971-06-08Z,S,50001-75000,F,1,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11662,6530,1,6530,IN,Ethan NULL.Kumar,-10,2003-11-07Z,1970-07-04Z,S,50001-75000,M,2,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11663,4296,1,4296,IN,Seth A.Williams,2299.99,2002-04-30Z,1970-02-25Z,M,50001-75000,M,4,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11667,4154,1,4154,IN,Blake S.Moore,-18.99,2004-01-05Z,1967-06-21Z,M,50001-75000,M,2,2,Bachelors ,Skilled Manual,1,1,Northwest,US,North America
11669,2601,1,2601,IN,Isabella NULL.Simmons,43.32,2004-02-19Z,1967-10-21Z,S,50001-75000,F,2,2,Bachelors ,Skilled Manual,1,1,Northwest,US,North America
11673,17757,1,17757,IN,Susan C.Ye,29.98,2003-08-03Z,1966-02-07Z,S,50001-75000,F,3,3,Bachelors ,Skilled Manual,1,1,Northwest,US,North America
11675,4939,1,4939,IN,Devin J.Martinez,-3578.27,2002-04-27Z,1966-02-02Z,S,50001-75000,M,4,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11678,17065,1,17065,IN,Johnny A.Chavez,-1258.28,2002-04-12Z,1969-01-28Z,M,50001-75000,M,5,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11679,14759,1,14759,IN,Dalton W.Richardson,2.99,2004-04-15Z,1969-05-08Z,M,50001-75000,M,5,5,Graduate Degree,Professional,1,2,Northwest,US,North America
11680,9915,1,9915,IN,Kaylee E.Nelson,-30.01,2004-03-04Z,1969-09-04Z,M,50001-75000,F,5,5,Graduate Degree,Professional,1,2,Northwest,US,North America
11681,12038,1,12038,IN,Abigail E.Jones,58.99,2003-09-08Z,1969-08-07Z,M,50001-75000,F,5,5,Graduate Degree,Professional,1,2,Northwest,US,North America
11682,11162,1,11162,IN,Kaitlyn NULL.Hall,-14,2004-03-08Z,1969-03-16Z,M,50001-75000,F,5,5,Graduate Degree,Professional,0,2,Northwest,US,North America
11684,4992,1,4992,IN,Devin NULL.Parker,-49,2004-01-02Z,1965-10-01Z,S,25001-50000,M,0,0,Bachelors ,Professional,0,1,Northwest,US,North America
11685,5663,1,5663,IN,Jose A.Griffin,41.03,2003-09-12Z,1965-02-07Z,M,25001-50000,M,0,0,Bachelors ,Professional,0,1,Northwest,US,North America
11688,19380,1,19380,IN,Victoria A.Morris,-1198.3,2002-04-04Z,1965-12-25Z,S,75001-100000,F,3,3,Bachelors ,Skilled Manual,1,2,Northwest,US,North America
11689,13902,1,13902,IN,Ian D.Diaz,-53.99,2004-02-27Z,1965-09-06Z,M,75001-100000,M,3,3,Bachelors ,Skilled Manual,1,2,Northwest,US,North America
11690,6793,1,6793,IN,Caroline NULL.Butler,2307.98,2002-04-27Z,1965-01-13Z,M,50001-75000,F,0,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11696,9743,1,9743,IN,Mackenzie T.Campbell,-3578.27,2002-04-03Z,1964-04-05Z,S,25001-50000,F,5,5,Bachelors ,Skilled Manual,1,3,Northwest,US,North America
11699,14424,1,14424,IN,Chase NULL.Peterson,11.98,2003-11-30Z,1963-03-16Z,S,50001-75000,M,4,2,Bachelors ,Skilled Manual,0,2,Northwest,US,North America
11713,5770,1,5770,IN,Kyle C.Zhang,74.98,2004-01-08Z,1962-03-20Z,M,50001-75000,M,1,0,Partial College,Skilled Manual,1,1,Northwest,US,North America
11717,4607,1,4607,IN,Marcus J.Jones,68.5,2003-11-26Z,1961-09-02Z,M,50001-75000,M,1,0,Partial College,Skilled Manual,0,1,Northwest,US,North America
11718,12460,1,12460,IN,Sarah T.Jones,80,2003-09-07Z,1961-11-14Z,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,Northwest,US,North America
11722,13337,1,13337,IN,Julian S.Hughes,58.99,2004-01-31Z,1960-07-02Z,M,50001-75000,M,1,0,Partial College,Skilled Manual,1,1,Northwest,US,North America
11725,5675,1,5675,IN,Jose K.Li,7.98,2003-10-03Z,1967-09-17Z,S,50001-75000,M,0,0,Partial College,Skilled Manual,0,1,Northwest,US,North America
11726,5366,1,5366,IN,Micah R.Liang,80.47,2004-04-12Z,1967-07-17Z,S,50001-75000,M,0,0,Partial College,Skilled Manual,0,1,Northwest,US,North America
11728,17765,1,17765,IN,Logan H.White,5,2003-12-13Z,1960-01-07Z,M,50001-75000,M,1,0,Partial College,Skilled Manual,1,1,Northwest,US,North America
11729,16170,1,16170,IN,Caleb NULL.Campbell,24.99,2004-01-28Z,1960-05-06Z,M,50001-75000,M,1,0,Partial College,Skilled Manual,1,1,Northwest,US,North America
11730,19515,1,19515,IN,Emma NULL.Torres,39.99,2003-11-12Z,1960-10-02Z,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,Northwest,US,North America
11735,2858,1,2858,IN,Sydney K.Gray,5,2003-08-28Z,1959-01-22Z,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,Northwest,US,North America
11745,9861,1,9861,IN,Allison NULL.Gonzalez,-1243.3,2002-04-12Z,1958-10-13Z,M,50001-75000,F,1,0,Bachelors ,Professional,1,1,Northwest,US,North America
11746,14163,1,14163,IN,Seth NULL.Brooks,5,2003-08-01Z,1958-12-01Z,S,50001-75000,M,1,0,Bachelors ,Professional,1,1,Northwest,US,North America
11747,11484,1,11484,IN,Destiny NULL.Davis,-14,2004-02-08Z,1958-02-09Z,M,50001-75000,F,5,4,Graduate Degree,Professional,1,1,Northwest,US,North America
11770,20429,1,20429,IN,Peter T.Nara,5,2004-02-09Z,1973-08-23Z,S,25001-50000,M,0,0,Graduate Degree,Skilled Manual,0,0,Northwest,US,North America
11771,15199,1,15199,IN,Isaac D.Rivera,10.5,2003-10-02Z,1973-10-08Z,S,25001-50000,M,0,0,Graduate Degree,Skilled Manual,0,0,Northwest,US,North America
11772,17651,1,17651,IN,Cameron M.Moore,-1253.29,2002-04-10Z,1973-01-24Z,M,25001-50000,M,1,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11778,3416,1,3416,IN,Haley A.Henderson,-3578.27,2002-04-29Z,1971-03-21Z,S,50001-75000,F,1,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11779,12475,1,12475,IN,Sarah P.Jackson,-2294.99,2002-04-19Z,1971-07-19Z,S,50001-75000,F,1,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11780,3530,1,3530,IN,Jessica K.Alexander,-1218.29,2002-04-17Z,1971-11-20Z,S,50001-75000,F,1,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11785,6721,1,6721,IN,Theodore D.Diaz,30.01,2003-10-23Z,1972-02-25Z,M,25001-50000,M,1,1,Bachelors ,Skilled Manual,1,0,Northwest,US,North America
11786,15123,1,15123,IN,Ian G.Murphy,21.99,2004-07-01Z,1972-09-13Z,S,50001-75000,M,1,0,Graduate Degree,Skilled Manual,1,0,Northwest,US,North America
11791,14954,1,14954,IN,Chase D.Morgan,-0.01,2004-04-01Z,1970-04-21Z,M,50001-75000,M,1,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11798,9354,1,9354,IN,Brendan Q.Chande,-1258.28,2002-04-17Z,1969-02-12Z,M,25001-50000,M,2,2,Bachelors ,Skilled Manual,1,0,Northwest,US,North America
11799,5506,1,5506,IN,Jessie B.Wang,2327.02,2002-04-12Z,1969-09-13Z,M,25001-50000,M,2,2,Bachelors ,Skilled Manual,1,0,Northwest,US,North America
11800,10319,1,10319,IN,Jennifer M.Baker,37.7,2004-02-11Z,1969-11-07Z,M,50001-75000,F,1,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11801,5529,1,5529,IN,Aaron J.Sharma,-14.99,2004-06-14Z,1969-09-16Z,M,50001-75000,M,1,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11803,10470,1,10470,IN,Jan L.Hernandez,78.46,2004-01-30Z,1971-09-12Z,S,50001-75000,F,1,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11804,9605,1,9605,IN,Haley M.Turner,80.99,2003-11-30Z,1971-04-18Z,M,50001-75000,F,1,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11810,13210,1,13210,IN,Antonio K.Washington,2324.99,2002-04-22Z,1967-01-07Z,S,25001-50000,M,0,0,Bachelors ,Professional,0,1,Northwest,US,North America
11812,18898,1,18898,IN,Andrew N.Rodriguez,2317.7,2002-04-05Z,1967-09-22Z,M,25001-50000,M,0,0,Bachelors ,Professional,0,1,Northwest,US,North America
11813,19150,1,19150,IN,Mary NULL.Patterson,-1258.28,2002-04-18Z,1967-11-12Z,M,25001-50000,F,0,0,Bachelors ,Professional,0,1,Northwest,US,North America
11814,14990,1,14990,IN,Dalton L.Morgan,87.69,2003-12-25Z,1970-07-08Z,M,50001-75000,M,2,0,Graduate Degree,Professional,1,0,Northwest,US,North America
11815,13043,1,13043,IN,Hannah J.Patterson,-1243.29,2002-04-04Z,1970-04-24Z,M,50001-75000,F,3,0,Graduate Degree,Professional,1,0,Northwest,US,North America
